,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0000 ± 0.0000,0.0008 ± 0.0008,0.9998 ± 0.0001,0.9998 ± 0.0001,0.9997 ± 0.0002
Gaussian,0.0000 ± 0.0000,0.0003 ± 0.0007,0.9999 ± 0.0001,0.9999 ± 0.0001,0.9999 ± 0.0002
TinyImageNet (Crop),0.0387 ± 0.0087,0.0435 ± 0.0034,0.9917 ± 0.0016,0.9864 ± 0.0022,0.9952 ± 0.0010
TinyImageNet (Resize),0.0386 ± 0.0069,0.0428 ± 0.0038,0.9922 ± 0.0016,0.9869 ± 0.0023,0.9955 ± 0.0010
LSUN (Crop),0.0454 ± 0.0040,0.0467 ± 0.0014,0.9915 ± 0.0006,0.9855 ± 0.0009,0.9955 ± 0.0003
LSUN (Resize),0.0195 ± 0.0066,0.0331 ± 0.0037,0.9950 ± 0.0014,0.9919 ± 0.0019,0.9970 ± 0.0009
iSUN,0.0193 ± 0.0051,0.0318 ± 0.0035,0.9953 ± 0.0012,0.9929 ± 0.0015,0.9969 ± 0.0008
SVHN,0.0290 ± 0.0007,0.0316 ± 0.0006,0.9943 ± 0.0001,0.9702 ± 0.0004,0.9989 ± 0.0000
Cifar100,0.6268 ± 0.0039,0.2042 ± 0.0025,0.8684 ± 0.0024,0.8796 ± 0.0022,0.8520 ± 0.0027
imagenet_a,0.4282 ± 0.0065,0.1445 ± 0.0024,0.9270 ± 0.0020,0.9134 ± 0.0022,0.9425 ± 0.0016
imagenet_o,0.5974 ± 0.0102,0.1895 ± 0.0040,0.8856 ± 0.0039,0.9537 ± 0.0017,0.7402 ± 0.0079
All,0.0905 ± 0.0034,0.0695 ± 0.0015,0.9824 ± 0.0009,0.7963 ± 0.0048,0.9992 ± 0.0000
