,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.00039999999999999996,0.9998248999999999,0.9998720765297168,0.9997930142300816
Gaussian,0.0,0.0001,0.99993902,0.9999242390359051,0.9999636366225826
TinyImageNet (Crop),0.0351,0.0421,0.9922764599999999,0.9872369083979776,0.9956040923878285
TinyImageNet (Resize),0.0357761696055448,0.04138528182652125,0.9928231984507186,0.987740033274698,0.9959341597157678
LSUN (Crop),0.0435,0.0463,0.9917028600000001,0.9857888577789327,0.9956451988662723
LSUN (Resize),0.017,0.03165,0.9955197,0.9926120564904077,0.9973262056443791
iSUN,0.017254901960784313,0.03049355742296919,0.9956962689075631,0.9934197458367381,0.997232711423431
SVHN,0.02915642286416718,0.03177357098955132,0.9942502304855564,0.9700759862507697,0.9989169697710785
Cifar100,0.6242,0.2035,0.8692415600000001,0.8803578514279595,0.8529020045398175
imagenet_a,0.4245333333333333,0.14373333333333332,0.9276457333333333,0.9141084372608247,0.9429889358383297
imagenet_o,0.592,0.18805,0.8868796999999999,0.9542383796005013,0.7430280067190873
All,0.08885492550426474,0.06883249258703372,0.9827162499542411,0.7979292953707806,0.9991717079435514
