,Uniform,Gaussian,TinyImageNet (Crop),TinyImageNet (Resize),LSUN (Crop),LSUN (Resize),iSUN,Cifar10,Cifar100,All
Max_out,0.9582592962507683,0.9580970113706206,0.9374912607559927,0.9293724495296696,0.9241534035033805,0.9062042370928088,0.9149877806070186,0.9207068531038721,0.9149047710510143,0.9310156631625097
Max_relu_32,0.00707330208973571,5.084511370620775e-05,0.055697161186232316,0.024252314659792888,0.23265449830977258,0.008452397049784875,0.016027444782461236,0.09304427627535342,0.10648362015980331,0.05611036785560348
Max_relu_0,0.1069903003995083,0.02159590119852489,0.12802836124769515,0.09209858817827812,0.2965564881684081,0.06553010909649662,0.07984690249793831,0.17831813153042408,0.17542664413030118,0.12157016273142074
Max_relu_1,1.0994161032575292e-05,0.0,0.01706518131530424,0.004620161400813423,0.17919880531653348,0.0011390365703749109,0.0032752191226828667,0.03987658266748617,0.053217025199754145,0.03193161891818201
Max_relu_2,3.847188076213889e-05,3.457283343577096e-07,0.009130174400737549,0.0021984107498970854,0.17847253764597415,0.00028027811923786005,0.0008841864957414971,0.013996934542102026,0.026331453595574688,0.02680247905380738
Max_relu_3,3.0447141979102617e-05,0.0,0.015356188537185,0.004653642221514599,0.17193049323909035,0.0012595805162876387,0.002993841666967943,0.029642877996312225,0.04192184234787953,0.02941434181034531
Max_relu_4,8.574062692071291e-05,8.750768285187443e-06,0.019234949293177622,0.006738881454449131,0.17219108789182544,0.002093749999999994,0.0027600161146203914,0.0347668561770129,0.04496047940995698,0.03080582927135652
Max_relu_5,3.670098340503994e-05,0.0,0.010458189920098337,0.0026360576606529835,0.1574520705285802,0.0006791333743085403,0.0014481896015935453,0.02432211124769515,0.03445699907805777,0.02564194210520695
Max_relu_6,0.0006685118315918868,0.00034858635525507065,0.016197864167178853,0.008747022004138821,0.1893937999385372,0.0081706246158574,0.009525970191395543,0.020264843269821753,0.02391262292562999,0.032253575453442825
Max_relu_7,0.006582897971727106,0.005030320374923171,0.03791175476336816,0.027470212680384534,0.23986065995697603,0.030250610786724023,0.03256147142323432,0.03480378764597418,0.03937481561155501,0.05242045371728879
Max_relu_8,0.10237797710510141,0.0750252266441303,0.2500568223724647,0.21669935552689534,0.5185459549784881,0.22892287569145667,0.24373512281372292,0.18631775507068224,0.1990039336201598,0.2283233890413212
Max_relu_9,0.005009791794714198,0.0035734326982175785,0.041548816840811305,0.028102847881506264,0.2905460548555624,0.03020941917639827,0.033000693823933995,0.03720510141364475,0.04393124615857407,0.05950016668947115
Max_relu_10,0.7208054625076828,0.7058687653657036,0.6455849147203443,0.6492857837342114,0.7812077289489858,0.6424084434542101,0.6811854834127873,0.5143753918254456,0.5289534419176398,0.6683743215601526
Max_relu_11,0.004556054087277198,0.0032332629071911492,0.040151763214505226,0.026546066069738337,0.2870380147510756,0.02798544483712353,0.030442941159254115,0.03540888905961894,0.04233405808236017,0.057794488388261636
Max_relu_12,0.31985575829748003,0.2690564881684081,0.4421239205593116,0.4077032520350669,0.6649568953595575,0.38711420559311616,0.4205250551357605,0.31196969114935463,0.32815418715427164,0.40368897066271553
Max_relu_13,0.00429633143822987,0.002950395666871543,0.04721100184388445,0.03178966924786266,0.29110295021511984,0.033832490780577734,0.036640402934375954,0.04426226183159188,0.051676590350338045,0.06239242533957237
Max_relu_14,0.03352069760295021,0.033250948832206514,0.1938877381684081,0.15982272776621353,0.513400422556853,0.18971856177012908,0.1937822916505262,0.14760772894898586,0.1490278426551936,0.1831244828594497
Max_relu_15,0.49950637676705595,0.5103181968346651,0.6668638944376153,0.6741936036072551,0.7732153925937308,0.7220762292562999,0.728001218926415,0.5604334665027658,0.5566585586969883,0.6403320634627296
Max_relu_16,0.6114239628149969,0.5997442801167794,0.6857115511677934,0.6961765208162608,0.7282484019668101,0.7116577097418562,0.7201798992491895,0.568178434234788,0.5677728334357713,0.6643137680725781
Max_relu_17,0.6389905500921942,0.656522057467732,0.7208739935464045,0.7297149139636487,0.8104649777197295,0.7740447948678549,0.7808292573329271,0.6225029118008605,0.6176880531653349,0.7155310493848286
