,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.0006,0.9999989,0.999997804078686,0.9999994499738746
Gaussian,0.0,0.00145,0.99997804,0.9999573769874732,0.999988944070923
TinyImageNet (Crop),0.1081,0.07665,0.9810155799999999,0.9666927031584511,0.9903321419253674
TinyImageNet (Resize),0.11099785954540821,0.07670594230965244,0.9808322087452858,0.9663103490652867,0.9901321931093955
LSUN (Crop),0.2587,0.1261,0.9519592,0.9232269896043133,0.9742609294559299
LSUN (Resize),0.138,0.087,0.9767737000000001,0.9603867230395056,0.9880464317141566
iSUN,0.13792717086834733,0.08777282913165266,0.9761120672268908,0.9616154782116443,0.9865552820814665
SVHN,0.10325752919483712,0.07526333743085434,0.9808276582667488,0.9258309898211632,0.9961419444326614
Cifar10,0.8476,0.3114,0.74012788,0.7503293511002218,0.696675006982664
imagenet_a,0.6056,0.20450000000000002,0.8708768533333334,0.8452161946525928,0.8940441392811282
imagenet_o,0.7115,0.2572,0.8139396000000001,0.9174404559911672,0.6209784500765112
All,0.18540652341033056,0.11219247721199252,0.9593385053263537,0.6146129962060001,0.9979979062010359
