,Uniform,Gaussian,TinyImageNet (Crop),TinyImageNet (Resize),LSUN (Crop),LSUN (Resize),iSUN,SVHN,Cifar10,All
Max_out,0.8666273,0.45791288999999996,0.8132543099999999,0.7951324839465905,0.7526936499999999,0.7795426700000001,0.7774962128851541,0.7958196296865395,0.77015218,0.7618479291957341
Max_relu_32,0.00218548,2.0799999999999932e-06,0.08375761000000001,0.033077484456222606,0.55252506,0.0200276,0.03371941736694678,0.9482068454210204,0.5300575999999999,0.3462478540213295
Max_relu_0,0.00059492,0.0,0.05021813,0.015271898889002145,0.49610399,0.006634719999999993,0.01206395518207283,0.9390662876459742,0.51029112,0.3286650048111619
Max_relu_1,0.0,0.0,0.025652940000000006,0.0067915197227601636,0.48605453,0.002046719999999989,0.006457411764705878,0.9710011716349108,0.49937677999999996,0.33112613563467247
Max_relu_2,5.305999999999995e-05,0.0,0.06540090000000001,0.0213548058301906,0.5791824999999999,0.009913499999999995,0.020138464985994406,0.9831557621389059,0.47753164000000003,0.3499710969449122
Max_relu_3,1.302000000000001e-05,0.0,0.024023310000000003,0.007273468555702786,0.43481230000000004,0.0025580799999999895,0.006585142857142854,0.9670752842655194,0.5071040800000001,0.32530093516959346
Max_relu_4,1.4539999999999952e-05,0.0,0.02126816,0.0053404138212210794,0.43100762,0.0020442399999999945,0.005702969187675069,0.9889848110018439,0.50208208,0.3297881324673242
Max_relu_5,4.5519999999999944e-05,0.0,0.04473147,0.018209336459076547,0.49091210999999996,0.012052019999999997,0.01805509243697479,0.9626758835279655,0.49963769999999996,0.3345338365006816
Max_relu_6,0.00014901999999999995,7.799999999999584e-07,0.05784137,0.019377729079604528,0.6232625999999999,0.01383382,0.022087742296918764,0.9505635448678549,0.49446414,0.3463587001844279
Max_relu_7,0.005996820000000001,0.0011710599999999998,0.32990834,0.2507114055651819,0.7385728499999998,0.23813884999999999,0.2571024761904762,0.8471465657652122,0.49006207999999996,0.42494064429476386
Max_relu_8,0.006665299999999999,0.0007549799999999999,0.5529670099999999,0.489594006727143,0.7930470000000001,0.49217522999999996,0.5233188459383753,0.8970341733251382,0.5009846,0.53911714477588
Max_relu_9,0.014545669999999998,0.00414425,0.37716441,0.29631680766486596,0.7747287600000001,0.27961223,0.3030029579831932,0.8762544022741242,0.49528912,0.455060931360757
Max_relu_10,0.75184871,0.5442192,0.7100633900000001,0.7121082662317807,0.82791366,0.6360962400000001,0.6865440896358543,0.8750642248002457,0.5200015,0.7336519886135835
Max_relu_11,0.015353869999999999,0.00407526,0.35630323,0.2769650086637448,0.7674453000000001,0.25609821,0.2756055798319328,0.8647819452980945,0.48098648,0.4418929736989816
Max_relu_12,0.6673022,0.4750533,0.6961925999999999,0.696881204770156,0.8520010899999999,0.60818957,0.6525286610644258,0.8648874385371852,0.46981244,0.7067608792398363
Max_relu_13,0.023695259999999996,0.0068775799999999995,0.38166712999999997,0.3016890938742228,0.78475493,0.28994222000000003,0.3058230476190476,0.8523315842040565,0.48671400000000004,0.4528524115949002
Max_relu_14,0.15613555,0.06597005,0.53682355,0.4996494139231475,0.78730065,0.47994922,0.5044941400560223,0.7673352220344192,0.5032241199999999,0.5227913950364846
Max_relu_15,0.1428746,0.0626826,0.28453127999999994,0.213095770054021,0.7335092400000001,0.25320452000000004,0.2396405602240896,0.7876912108174554,0.52983152,0.4224985185630663
Max_relu_16,0.25330748,0.051289730000000006,0.39513015,0.3341929263072062,0.7575066500000001,0.42055831,0.36341334453781515,0.8285632145052244,0.514615,0.49557359774677257
Max_relu_17,0.25434239999999997,0.11492190999999999,0.33058175,0.26777326470288454,0.74128394,0.31127005,0.30057177591036416,0.8428072871850031,0.5373614600000001,0.47570858090770596
Max_relu_18,0.69662737,0.37441027,0.65403422,0.6151048415044338,0.84699493,0.65185994,0.6354799663865547,0.925484138752305,0.4975695,0.7068977046748457
Max_relu_19,0.35475856000000006,0.17953344999999998,0.41464469000000004,0.3592228111303639,0.77231095,0.40027604,0.3931027114845938,0.8611431853103871,0.52709362,0.5342470641889183
Max_relu_20,0.5446799499999999,0.40403579,0.73282139,0.7172261135460198,0.8434611399999999,0.69877921,0.7244041904761904,0.84957133143823,0.5073482,0.7055626002325395
Max_relu_21,0.48375479,0.28838325,0.48214396,0.43076608908368164,0.80350321,0.46984572999999996,0.4649061960784314,0.8652795098340504,0.5437023400000001,0.5903226605725282
Max_relu_22,0.9094375100000001,0.8971300199999999,0.81576642,0.8071997961471816,0.87907328,0.80718103,0.8317046834733893,0.8370158343577135,0.5192346999999999,0.8300622824953893
Max_relu_23,0.57661717,0.38860408999999996,0.56324081,0.520700356742432,0.82474328,0.5509829900000001,0.5524779159663865,0.8503107367854947,0.55843014,0.6415762549113945
Max_relu_24,0.9529996,0.9452376699999999,0.8182400599999999,0.8132557741310774,0.8784711799999999,0.80157473,0.8268844033613445,0.9130225645359556,0.51527802,0.8586743404698902
Max_relu_25,0.57469773,0.39189602,0.57790169,0.5376296809703395,0.8253362999999999,0.55761933,0.5679544649859944,0.8577399008912108,0.55716722,0.6488323941544383
Max_relu_26,0.54835712,0.59945683,0.63930558,0.6178477219447558,0.781013,0.63388431,0.6484960000000001,0.7706416180086048,0.55568024,0.6686456879961511
Max_relu_27,0.8426208800000001,0.889948,0.72972652,0.6878806747528284,0.8297143100000001,0.7094852399999999,0.7201864985994397,0.7626836816226183,0.6137683199999999,0.7629143061903616
Max_relu_28,0.9338060300000001,0.9091681199999999,0.7033421699999999,0.631690480073387,0.78085252,0.6521008100000001,0.6284863529411765,0.7840642132759681,0.6202148,0.752859495028466
Max_relu_29,0.9558820299999999,0.93869639,0.79373574,0.7431301192538988,0.83851414,0.76710363,0.76048681232493,0.8303206899200983,0.6775045599999999,0.8221067346243285
Max_relu_30,0.8893897899999998,0.9088395600000001,0.81039929,0.7998300988686169,0.7985451299999999,0.7960543099999999,0.799077131652661,0.7904845805162877,0.67071486,0.811308698179777
Max_relu_31,0.67178538,0.48432414,0.7721901,0.7815489552543065,0.6454219999999999,0.7719272699999999,0.7651931428571429,0.6753050745236632,0.7010784999999999,0.691990905901692
Min_out,0.16376528999999998,0.10035651,0.51595293,0.5768538579145857,0.43579415,0.57558559,0.5599901400560224,0.4063675514751076,0.53065946,0.41901037707481353
Min_relu_32,0.0015507400000000003,5.420000000000001e-05,0.3317027,0.20629061257771888,0.65796304,0.11329432,0.15016207282913166,0.8431284227105103,0.51899238,0.3904362591211611
Min_relu_0,0.0026668,6.59999999999994e-07,0.08911606,0.03369462847823872,0.54341443,0.01636404,0.030571450980392156,0.927413721573448,0.52060428,0.33943251844278727
Min_relu_1,0.00012316,0.0,0.044336020000000004,0.011587809601467738,0.56075385,0.0060145599999999935,0.012358252100840336,0.9710922403196066,0.48464532,0.34118115127094856
Min_relu_2,1.9999999999997797e-08,0.0,0.06036156,0.01660212006930996,0.58183688,0.0038749199999999996,0.012028851540616243,0.9775497387830362,0.46838451999999997,0.34600745830326357
Min_relu_3,7.400000000000073e-07,0.0,0.02366978,0.005939048007338697,0.46530996,0.00226703999999999,0.006357803921568622,0.9909494045789796,0.4990537,0.3339663018202229
Min_relu_4,0.0,0.0,0.022679320000000003,0.005327662827438592,0.45906499,0.0018763199999999997,0.005026599439775917,0.9928024124154886,0.48058246000000004,0.3325804175687595
Min_relu_5,4.869999999999999e-05,0.0,0.045342629999999995,0.012675772092549182,0.5474043800000001,0.004397759999999987,0.010278072829131651,0.9885181584204056,0.45612458,0.3428128868976025
