,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0001,0.003962169637369391,0.9998857867240319,0.9999142715621185,0.9998502191431754
Gaussian,0.0,0.0032475414874001234,0.9999404655808235,0.9999550806929246,0.9999218526626648
TinyImageNet (Crop),0.0032,0.01606819299323909,0.9985774200983405,0.9989722658631115,0.9980808216333685
TinyImageNet (Resize),0.004484762001834675,0.01854004655411995,0.9983941735431493,0.9988444727348655,0.9978334863141148
LSUN (Crop),0.0098,0.02451754763368162,0.9969971957590656,0.9978024262588947,0.9960393286915907
LSUN (Resize),0.0064,0.019954763368162265,0.998220582360172,0.9986750789378105,0.9976928098680993
iSUN,0.003473389355742297,0.015303440368157097,0.9988043674753244,0.9992108299079993,0.9982356745481167
Cifar10,0.027,0.03711444376152428,0.9927275968039337,0.9972975605399901,0.980365400909601
Cifar100,0.0388,0.04324062692071297,0.9911725414874001,0.9966404237039873,0.9772934577113443
imagenet_a,0.0192,0.03274492931776275,0.9940879123130505,0.9967684007952492,0.9892615459390547
imagenet_o,0.0585,0.05294852489244008,0.9870518592501536,0.9979093599461365,0.9320348014683222
All,0.009746588693957114,0.023878957708350627,0.997269283216355,0.986323503275639,0.9995784971183177
