,Uniform,Gaussian,TinyImageNet (Crop),TinyImageNet (Resize),LSUN (Crop),LSUN (Resize),iSUN,Cifar10,Cifar100,All
Max_out,0.9576936616472035,0.957941483558697,0.9374912607559927,0.9293724495296696,0.9241534035033805,0.9062042370928088,0.9149877806070186,0.9207068531038721,0.9149047710510143,0.9309240706996608
Max_relu_32,0.0070248962814996934,4.895513214505223e-05,0.055697161186232316,0.024252314659792888,0.23265449830977258,0.008452397049784875,0.016027444782461236,0.09304427627535342,0.10648362015980331,0.05610397995301798
Max_relu_0,0.10685912722802705,0.021041706361401354,0.12802836124769515,0.09209858817827812,0.2965564881684081,0.06553010909649662,0.07984690249793831,0.17831813153042408,0.17542664413030118,0.12148311639828153
Max_relu_1,1.0525507068223717e-05,0.0,0.01706518131530424,0.004620161400813423,0.17919880531653348,0.0011390365703749109,0.0032752191226828667,0.03987658266748617,0.053217025199754145,0.03193155939598577
Max_relu_2,3.783036263060848e-05,3.8414259373079317e-07,0.009130174400737549,0.0021984107498970854,0.17847253764597415,0.00028027811923786005,0.0008841864957414971,0.013996934542102026,0.026331453595574688,0.026802402455571226
Max_relu_3,2.933312845728332e-05,0.0,0.015356188537185,0.004653642221514599,0.17193049323909035,0.0012595805162876387,0.002993841666967943,0.029642877996312225,0.04192184234787953,0.029414200323157516
Max_relu_4,8.443454210202824e-05,8.074677320221246e-06,0.019234949293177622,0.006738881454449131,0.17219108789182544,0.002093749999999994,0.0027600161146203914,0.0347668561770129,0.04496047940995698,0.030805577521739614
Max_relu_5,3.713122311001844e-05,7.68285187461501e-09,0.010458189920098337,0.0026360576606529835,0.1574520705285802,0.0006791333743085403,0.0014481896015935453,0.02432211124769515,0.03445699907805777,0.025641997724308363
Max_relu_6,0.0006605562384757221,0.00035063767670559303,0.016197864167178853,0.008747022004138821,0.1893937999385372,0.0081706246158574,0.009525970191395543,0.020264843269821753,0.02391262292562999,0.03225282557134751
Max_relu_7,0.006620198217578365,0.005069967732022126,0.03791175476336816,0.027470212680384534,0.23986065995697603,0.030250610786724023,0.03256147142323432,0.03480378764597418,0.03937481561155501,0.05243022657887056
Max_relu_8,0.10026147818070068,0.07433801090964967,0.2500568223724647,0.21669935552689534,0.5185459549784881,0.22892287569145667,0.24373512281372292,0.18631775507068224,0.1990039336201598,0.22796729847806158
