,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,5e-05,0.99999998,0.9999999600079984,0.9999999900009999
Gaussian,0.0,0.00025,0.9999997399999999,0.9999994802555876,0.9999998700289753
TinyImageNet (Crop),0.0781,0.0623,0.9862081599999999,0.9763662250456512,0.9927768043025221
TinyImageNet (Resize),0.09051065130975436,0.06856373458363062,0.9836476607889104,0.9710414058149278,0.9915282100194371
LSUN (Crop),0.1396,0.0808,0.9764236599999998,0.9621407597237805,0.9871370682893347
LSUN (Resize),0.0734,0.0606,0.9866462199999999,0.9764642176022172,0.9931220055028382
iSUN,0.07764705882352942,0.0618484593837535,0.9861961680672268,0.9779404509286647,0.9920565220972256
SVHN,0.12730485556238474,0.08562335586969883,0.9743364781807007,0.8980100625823686,0.9948583991221186
Cifar10,0.8972,0.3422,0.69682792,0.701844008853878,0.6469346634740999
All,0.1232058375431,0.08538186191965359,0.9701829484403818,0.6424191475685499,0.9984344240942709
