,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.0018,0.9998928600000001,0.9998220549520737,0.9999430482865492
Gaussian,0.0,0.00225,0.9998865399999999,0.9998087682136572,0.9999400775894358
TinyImageNet (Crop),0.0518,0.0498,0.98999974,0.983833682031306,0.9944856703011311
TinyImageNet (Resize),0.039343593925186014,0.04417284680460708,0.9922858016512079,0.9872077311390691,0.9957791857599874
LSUN (Crop),0.0678,0.0549,0.98783312,0.9803828240728975,0.9933100464239175
LSUN (Resize),0.0213,0.0336,0.99503784,0.9917423317921091,0.9973057020003447
iSUN,0.027338935574229693,0.03695490196078431,0.9944407843137255,0.9915951143511376,0.9966455916420818
SVHN,0.030769821757836508,0.037594622003687767,0.9946571834665029,0.9769125280669426,0.998949287982849
Cifar100,0.4732,0.1645,0.90933416,0.9149588537984837,0.8987408782591274
imagenet_a,0.3290666666666667,0.11766666666666667,0.94654624,0.9346404381623412,0.957241251607682
imagenet_o,0.3935,0.13955,0.9313215000000001,0.9710042985100601,0.8432370902659326
All,0.07743346633964199,0.06183869385364425,0.9860025570157774,0.8431546833034912,0.9993197629787439
