,Uniform,Gaussian,TinyImageNet (Crop),TinyImageNet (Resize),LSUN (Crop),LSUN (Resize),iSUN,SVHN,Cifar10,All
Max_relu_28,0.6489807599999999,0.45743146,0.7746463400000001,0.7665459790031597,0.8903314,0.7069697500000001,0.7449239551820729,0.8395366011063307,0.46587822,0.7330690592173843
Max_relu_29,0.5602772,0.39715329,0.6766051599999998,0.652347242890633,0.82809246,0.5389541999999999,0.5853126722689076,0.864754901659496,0.4692688,0.6664718256354742
Max_relu_30,0.70434493,0.52948248,0.61276098,0.5801963204566303,0.82504091,0.49124935,0.5445616470588235,0.8587909380762139,0.44255054000000005,0.6690532405180017
Max_relu_31,0.83003174,0.7861138999999999,0.7236183700000001,0.6973686882071144,0.8761477,0.65958594,0.7172408403361346,0.8707907498463429,0.48195524,0.7725566935289874
Max_relu_32,0.81841563,0.67383282,0.70409028,0.7013940780756295,0.7829309799999999,0.60808003,0.6562187450980391,0.8373531999078059,0.45522994,0.7285477828562266
Max_relu_33,0.15719481000000002,0.08814128000000002,0.55334552,0.48859301804097444,0.82806845,0.46466685999999996,0.4759587899159664,0.8508075944990781,0.48966052000000004,0.5467906883970812
Max_relu_34,0.5606651899999999,0.39984244,0.34775705,0.2869924982162878,0.69419146,0.29106074,0.27958572549019606,0.7856386216963737,0.50986454,0.51366392129741
Max_relu_35,0.43790032999999995,0.24807439999999997,0.6266422700000001,0.6241110488227499,0.7659595800000001,0.55810066,0.6096538039215686,0.6954615934234787,0.50490256,0.5869602988934327
Max_relu_36,0.5439894000000001,0.35846498,0.6252399000000001,0.5960794924064825,0.83044485,0.5947633800000001,0.6133852885154061,0.8072231983712354,0.46856746000000005,0.6435740548071527
Max_relu_37,0.77911284,0.4423268,0.64778537,0.5987975231882581,0.8339499100000001,0.62325056,0.6068572324929973,0.8511224492931776,0.49740108000000005,0.6935959736588886
Max_relu_38,0.5736895500000001,0.26291555,0.60950691,0.5524127611864234,0.8131616500000001,0.55470595,0.5648649523809524,0.8185583781499692,0.46944588,0.6240165032876273
Max_relu_39,0.37688697,0.28337032,0.38980866000000003,0.3242476913668332,0.73396795,0.36291351,0.3530210532212885,0.8662368892132759,0.4970348,0.5295929937454895
