,Uniform,Gaussian,TinyImageNet (Crop),TinyImageNet (Resize),LSUN (Crop),LSUN (Resize),iSUN,Cifar10,Cifar100,All
Max_out,0.9575385986478179,0.9586966425937307,0.9374912607559927,0.9293724495296696,0.9241534035033805,0.9062042370928088,0.9149877806070186,0.9207068531038721,0.9149047710510143,0.9310002869204045
Max_relu_32,0.007016898432698216,4.794099569760293e-05,0.055697161186232316,0.024252314659792888,0.23265449830977258,0.008452397049784875,0.016027444782461236,0.09304427627535342,0.10648362015980331,0.056102835370457405
Max_relu_0,0.10652568761524277,0.02134122234173325,0.12802836124769515,0.09209858817827812,0.2965564881684081,0.06553010909649662,0.07984690249793831,0.17831813153042408,0.17542664413030118,0.12147880786946977
Max_relu_1,8.512599877074361e-06,0.0,0.01706518131530424,0.004620161400813423,0.17919880531653348,0.0011390365703749109,0.0032752191226828667,0.03987658266748617,0.053217025199754145,0.031931303743274034
Max_relu_2,3.8414259373079284e-05,4.379225568531068e-07,0.009130174400737549,0.0021984107498970854,0.17847253764597415,0.00028027811923786005,0.0008841864957414971,0.013996934542102026,0.026331453595574688,0.02680248344478907
Max_relu_3,2.5622311001843876e-05,0.0,0.015356188537185,0.004653642221514599,0.17193049323909035,0.0012595805162876387,0.002993841666967943,0.029642877996312225,0.04192184234787953,0.029413729024456103
Max_relu_4,8.246004917025194e-05,8.950522433927442e-06,0.019234949293177622,0.006738881454449131,0.17219108789182544,0.002093749999999994,0.0027600161146203914,0.0347668561770129,0.04496047940995698,0.030805437986099242
Max_relu_5,3.5886601106330654e-05,0.0,0.010458189920098337,0.0026360576606529835,0.1574520705285802,0.0006791333743085403,0.0014481896015935453,0.02432211124769515,0.03445699907805777,0.025641838673193806
Max_relu_6,0.0006640019975414873,0.000345159803318992,0.016197864167178853,0.008747022004138821,0.1893937999385372,0.0081706246158574,0.009525970191395543,0.020264843269821753,0.02391262292562999,0.0322525674792015
Max_relu_7,0.006617005992624462,0.005039804855562385,0.03791175476336816,0.027470212680384534,0.23986065995697603,0.030250610786724023,0.03256147142323432,0.03480378764597418,0.03937481561155501,0.052425990257313246
Max_relu_8,0.10220462507682851,0.07470569299323909,0.2500568223724647,0.21669935552689534,0.5185459549784881,0.22892287569145667,0.24373512281372292,0.18631775507068224,0.1990039336201598,0.22826078925479865
Max_relu_9,0.004999588967424707,0.0035915795943454202,0.041548816840811305,0.028102847881506264,0.2905460548555624,0.03020941917639827,0.033000693823933995,0.03720510141364475,0.04393124615857407,0.059501175639486176
Max_relu_10,0.7206071719422249,0.7031332283343577,0.6455849147203443,0.6492857837342114,0.7812077289489858,0.6424084434542101,0.6811854834127873,0.5143753918254456,0.5289534419176398,0.6680017057812454
Max_relu_11,0.004541218500307314,0.003247318684695759,0.040151763214505226,0.026546066069738337,0.2870380147510756,0.02798544483712353,0.030442941159254115,0.03540888905961894,0.04233405808236017,0.05779438934723018
Max_relu_12,0.31512904502151196,0.2716293792255685,0.4421239205593116,0.4077032520350669,0.6649568953595575,0.38711420559311616,0.4205250551357605,0.31196969114935463,0.32815418715427164,0.4034154207974941
Max_relu_13,0.004243646281499693,0.0029567801167793483,0.04721100184388445,0.03178966924786266,0.29110295021511984,0.033832490780577734,0.036640402934375954,0.04426226183159188,0.051676590350338045,0.06238654483931552
Max_relu_14,0.03352073601720958,0.03428299784880147,0.1938877381684081,0.15982272776621353,0.513400422556853,0.18971856177012908,0.1937822916505262,0.14760772894898586,0.1490278426551936,0.18325556488429917
Max_relu_15,0.49315825138291336,0.5094854602028274,0.6668638944376153,0.6741936036072551,0.7732153925937308,0.7220762292562999,0.728001218926415,0.5604334665027658,0.5566585586969883,0.6394200458321693
Max_relu_16,0.6122758028580209,0.5983373463429625,0.6857115511677934,0.6961765208162608,0.7282484019668101,0.7116577097418562,0.7201798992491895,0.568178434234788,0.5677728334357713,0.6642432674463343
Max_relu_17,0.6304551628764598,0.6548550361094039,0.7208739935464045,0.7297149139636487,0.8104649777197295,0.7740447948678549,0.7808292573329271,0.6225029118008605,0.6176880531653349,0.7142352750790393
Max_relu_18,0.6041442877996313,0.6298729525199754,0.6983821988322065,0.6875073414265951,0.7919581783958205,0.722653184542102,0.7185570958561667,0.6147099339274739,0.6137575291948372,0.6829239730715495
Max_relu_19,0.6917243200676091,0.7215031691763982,0.755422725875845,0.7649258955224864,0.8356490511677934,0.8071882721266134,0.8116483612498472,0.6638429932390904,0.6553732175783651,0.7551768698353468
Max_relu_20,0.83911053318992,0.8494183197602949,0.8618647779655808,0.8661891604427553,0.9056429433005531,0.8650504379225569,0.8707015928682474,0.7955226336816226,0.8038979717271051,0.8570052671952559
Max_relu_21,0.8445736209280885,0.858322921788568,0.8688262676705593,0.8758282577907455,0.9097590657652119,0.8995228372771973,0.902758983126133,0.8075980562384757,0.7984407882606023,0.8698704064008508
Max_relu_22,0.9202451751690227,0.9296018285187462,0.9097551628764597,0.9153878345286455,0.9115472456976031,0.9125043292870314,0.9150492175973033,0.8617032728948986,0.8585537569145667,0.909183942239286
Max_relu_23,0.8506539297787339,0.864046143208359,0.8740987976336816,0.8804617159834078,0.9157420636140136,0.902764704978488,0.9057702005202818,0.8123847495390288,0.8048775891210818,0.8748422198307007
Max_relu_24,0.9711331937615242,0.973768753841426,0.9648372349416102,0.9619284227586697,0.9671209319299324,0.9632139904732636,0.9664122932516583,0.9427539336201598,0.9357436616472035,0.9634212875783725
Max_relu_25,0.9401990511677936,0.9461274354640443,0.9371416948371235,0.9418708308919338,0.9553896665642285,0.949867708973571,0.9549559301286586,0.8978238936693301,0.8892054548248309,0.9396728143519795
Max_relu_26,0.8967121542716656,0.900647249539029,0.9006177973263674,0.8902059112368197,0.9067509373079286,0.9060624884757222,0.9072799261068902,0.8744177012907192,0.8629023970497849,0.8969948980969071
Max_relu_27,0.9366350184388446,0.9366944875537799,0.947350361094038,0.939463720024505,0.9519996389059617,0.9430815957283345,0.9484684094904094,0.9316379917025199,0.9270719652735095,0.9415428763710636
Max_relu_28,0.9554592002151199,0.9533114359250154,0.9432707936385987,0.9341498114298784,0.9299243354333129,0.9213139328518746,0.9339362327598526,0.908498901352182,0.9076642286416718,0.9349463689789765
Max_relu_29,0.9212579824830979,0.9204632606023355,0.9325312231100183,0.923755999766202,0.932744729563614,0.9270189267055932,0.9314797818328314,0.911763783036263,0.9131601106330669,0.9251321867958426
Max_relu_30,0.7191870543945913,0.7188714812538415,0.6749843692378611,0.6325520805109627,0.6622534227105101,0.6604031845421021,0.6487747809633995,0.5793023355869699,0.5979503534111862,0.6634772143412319
Max_relu_31,0.7147947987092809,0.7073762100491703,0.7606188191456669,0.7296161042348199,0.7543505070682237,0.7546275007682852,0.7620915262232736,0.6989812692071296,0.6943360402581439,0.7346600713132896
Min_out,0.0512594114935464,0.06000139443761524,0.10064895129071912,0.10283731376738864,0.10957477719729564,0.11976250384142595,0.10531037860749709,0.10370972649047328,0.10944011985248925,0.09432853623202343
Min_relu_32,0.0685052819606638,0.0028784419176398277,0.0763252881069453,0.03876650297882593,0.24944728411186232,0.01965366472034419,0.032651354333989274,0.11698371235402581,0.12661024892440076,0.07693838793846274
Min_relu_0,0.1387396819299324,0.032667209588199145,0.11489744161032575,0.07438987694093224,0.2771588468039336,0.04383345497848801,0.061010228307672186,0.1484233020897357,0.16258809157959436,0.11306617922892832
Min_relu_1,0.0023502189612784265,7.581438229870924e-05,0.033112887984019665,0.01158033498769021,0.22578061232329438,0.002947960202827278,0.006036177839297975,0.04553365089121082,0.06459575906576522,0.042684534928139964
Min_relu_2,0.00036643362015980333,5.16287645974185e-06,0.014365492470805163,0.004051073588298884,0.20419794867854946,0.0012300629993853645,0.0028934739230664385,0.024974108789182554,0.03916293023970498,0.032868135787139326
Min_relu_3,0.00010984941610325752,6.138598647818068e-06,0.012895943454210202,0.0031732973857411025,0.21714465273509528,0.0012310156730178199,0.002041439193993512,0.015174554394591267,0.025031322987092805,0.03256780190938151
Min_relu_4,0.00012169637369391516,5.4548248309772544e-06,0.015110752151198526,0.0048603611327225306,0.19920926551936077,0.001986047940995693,0.0027167597217128982,0.024807060540872776,0.033205539336201594,0.03208605023211237
Min_relu_5,0.011606257682851874,0.0003273010141364471,0.08918138060848187,0.04532559974795923,0.36415782882606024,0.025933827596803932,0.03548683456172881,0.09561546558082361,0.11187927166564228,0.08523355391569715
Min_relu_6,0.0015368584818684695,0.0006385064535955746,0.02232399738783036,0.01194191297263831,0.20145314996926858,0.010703000153657036,0.012611231339493385,0.027193039336201593,0.030957944068838346,0.0366671838722685
Min_relu_7,0.004171604179471419,0.0025683043945912724,0.05318328979717271,0.03370596952970453,0.31639094960049174,0.035591210817455435,0.04168621597378963,0.049459288567916405,0.05493382759680393,0.06786930899890052
Min_relu_8,0.24407566456668714,0.21188560233558695,0.324190565457898,0.309516675241975,0.5634551897664413,0.3213953480331899,0.349319811514034,0.19936038721573449,0.21254602028272895,0.3157882437214504
Min_relu_9,0.8261024124154885,0.7875181084818683,0.6822208627842655,0.6858129245067359,0.8176116011063307,0.7321396627228027,0.7473338997553539,0.5124896358328211,0.5147072679778734,0.7238160009628779
Min_relu_10,0.7195612438537184,0.6602180201290719,0.6670296135525506,0.6812876965615091,0.8272977834972342,0.6908679356177013,0.7261566673381092,0.5447911263060847,0.5531906038721573,0.689706315590728
Min_relu_11,0.9600512215734482,0.9600532191149354,0.8333606791641057,0.8412640970269251,0.8716964812538415,0.8221390212046712,0.8447780193823073,0.6936884987707437,0.6915943838352796,0.8533924318616439
