,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0000 ± 0.0000,0.0028 ± 0.0010,0.9998 ± 0.0001,0.9997 ± 0.0001,0.9999 ± 0.0001
Gaussian,0.0000 ± 0.0000,0.0030 ± 0.0011,0.9998 ± 0.0001,0.9997 ± 0.0001,0.9999 ± 0.0001
TinyImageNet (Crop),0.0751 ± 0.0238,0.0569 ± 0.0071,0.9862 ± 0.0035,0.9786 ± 0.0047,0.9922 ± 0.0022
TinyImageNet (Resize),0.0592 ± 0.0208,0.0514 ± 0.0076,0.9888 ± 0.0034,0.9822 ± 0.0047,0.9937 ± 0.0021
LSUN (Crop),0.0776 ± 0.0125,0.0582 ± 0.0035,0.9859 ± 0.0018,0.9772 ± 0.0025,0.9922 ± 0.0011
LSUN (Resize),0.0343 ± 0.0134,0.0405 ± 0.0065,0.9925 ± 0.0026,0.9881 ± 0.0036,0.9958 ± 0.0016
iSUN,0.0406 ± 0.0160,0.0434 ± 0.0068,0.9916 ± 0.0028,0.9878 ± 0.0036,0.9948 ± 0.0019
SVHN,0.0329 ± 0.0047,0.0400 ± 0.0031,0.9938 ± 0.0008,0.9738 ± 0.0026,0.9988 ± 0.0002
Cifar100,0.4812 ± 0.0156,0.1680 ± 0.0029,0.9055 ± 0.0022,0.9104 ± 0.0023,0.8935 ± 0.0029
imagenet_a,0.3469 ± 0.0189,0.1244 ± 0.0030,0.9418 ± 0.0023,0.9292 ± 0.0024,0.9530 ± 0.0021
imagenet_o,0.4184 ± 0.0155,0.1500 ± 0.0050,0.9240 ± 0.0034,0.9677 ± 0.0016,0.8252 ± 0.0079
All,0.0871 ± 0.0094,0.0655 ± 0.0030,0.9838 ± 0.0014,0.8291 ± 0.0056,0.9992 ± 0.0001
