,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.0002,0.9999992000000001,0.9999984094252986,0.9999995994748524
Gaussian,0.0,0.00015000000000000001,0.9999998800000001,0.9999997601998002,0.9999999399979977
TinyImageNet (Crop),0.1107,0.07469999999999999,0.9803693000000001,0.9663315436797081,0.9898191332860606
TinyImageNet (Resize),0.11008052186321476,0.07508982774436856,0.9808618489450617,0.9678719819263767,0.9899181702630965
LSUN (Crop),0.2467,0.1249,0.95257384,0.9233173901082191,0.974515510420617
LSUN (Resize),0.1241,0.08055,0.9778787000000001,0.9618567988159064,0.9886240910623247
iSUN,0.1334453781512605,0.08570924369747898,0.9752373557422969,0.9608100346392143,0.985885993602039
SVHN,0.1396742470805163,0.08624277811923786,0.974015258143823,0.9079202528444447,0.9945486249029197
Cifar10,0.8564,0.3346,0.70612604,0.6992680602181178,0.6708512453256413
imagenet_a,0.5921333333333333,0.20613333333333334,0.8701394133333333,0.8409261479245742,0.8938673629030229
imagenet_o,0.7515,0.2798,0.7918293,0.9046134650060775,0.5832426804555373
All,0.19171212065746604,0.11344106234213128,0.9557357854083537,0.5619115459219709,0.9978070931411719
