,Uniform,Gaussian,TinyImageNet (Crop),TinyImageNet (Resize),LSUN (Crop),LSUN (Resize),iSUN,SVHN,Cifar100,All
Max_out,0.96287194,0.9804343,0.9287843600000001,0.9229887677097136,0.93703209,0.92705371,0.9259635070028011,0.9116392248002458,0.8716565000000001,0.929872362881886
Max_relu_32,0.00029472,0.0,0.09321897,0.038266252165936196,0.54070515,0.020274789999999994,0.03579240336134454,0.9147143554087277,0.45070724,0.3338264172881084
Max_relu_0,1.0799999999999922e-06,0.0,0.03885151,0.009500417898277446,0.5267689600000001,0.0027572199999999904,0.008462240896358539,0.9776626690227412,0.49322468,0.33847686432523455
Max_relu_1,0.0,0.0,0.03633751,0.008779043930282329,0.51442429,0.002340049999999998,0.006963182072829131,0.9751969729563614,0.50753772,0.3368145327159009
Max_relu_2,0.0,0.0,0.030892260000000005,0.007920456630312905,0.50255693,0.001906499999999982,0.005992403361344537,0.991885045328826,0.5218277,0.33993501623767136
Max_relu_3,0.0,0.0,0.025666459999999995,0.005926908572011005,0.47555297,0.0015088199999999919,0.004565400560224085,0.9843015096803934,0.5020019800000001,0.3333686592895517
Max_relu_4,0.0,0.0,0.016950120000000003,0.003949648353888492,0.39172821999999996,0.0006844199999999897,0.0026275630252100895,0.9926026160110633,0.5232823999999999,0.3268750691604522
Max_relu_5,3.454000000000002e-05,0.0,0.04928916,0.014977382529813473,0.59005559,0.007000019999999999,0.016015932773109247,0.9909036570374923,0.49559058,0.3510828652473739
Max_relu_6,0.0015168199999999997,0.00020210000000000003,0.31943876000000004,0.22080168178575066,0.8007078700000001,0.17816957,0.21656410084033614,0.9780631760909648,0.5062541199999999,0.4519653826878358
Max_relu_7,0.00035839999999999993,2.0000000000000018e-07,0.44317660000000003,0.36999775761899906,0.76546864,0.38767924000000004,0.40039176470588234,0.9536874346957591,0.48303086,0.5052914852457702
Max_relu_8,0.01338559,0.0005134,0.57032226,0.5119759249821628,0.80826465,0.49624241,0.5157589915966386,0.9428318146896127,0.5147284599999999,0.557602317376313
Max_relu_9,0.004204659999999999,0.0005383399999999999,0.45949537000000007,0.38346160432167975,0.78802501,0.36795696,0.40735778151260504,0.9593390557775047,0.50679166,0.5122633108812444
Max_relu_10,0.53779968,0.32176115,0.65194477,0.5860119253898686,0.8892555999999999,0.5504692800000001,0.5856891652661065,0.9673586585740628,0.57819946,0.6872165574131985
Max_relu_11,0.08019063,0.03633176,0.57362223,0.5131028029762511,0.8517394,0.48848493000000004,0.5267185770308124,0.9607558735402583,0.5640691200000001,0.5800401621762489
Max_relu_12,0.6575974200000001,0.6119959499999998,0.7430279399999999,0.748212812149628,0.8890411800000001,0.7252214499999999,0.7637089299719888,0.9698197487707438,0.5483176,0.7859593577098869
Max_relu_13,0.07406048000000001,0.02640205,0.58587234,0.5265815105493834,0.8547881,0.50196558,0.540960324929972,0.960874581284573,0.57006936,0.584246266337904
Max_relu_14,0.28730908,0.14128037,0.53856916,0.4895387218428294,0.7756489099999999,0.50331017,0.5021481008403361,0.9453040027658267,0.57210044,0.5935206589287145
Max_relu_15,0.12991472999999998,0.06617985,0.6615352999999999,0.6620129752318826,0.81058712,0.64691995,0.6881163585434174,0.9183212546097111,0.58629924,0.6277068037847807
Max_relu_16,0.68863344,0.5661727,0.82298755,0.8389469880746101,0.83963065,0.84599875,0.8547715630252101,0.9041353910571605,0.61971994,0.8031535983481677
Max_relu_17,0.169874,0.08730683,0.70773034,0.7162602588930792,0.8240387400000001,0.7037998,0.7418178151260505,0.9046734634296251,0.6034426999999999,0.6529460708844519
Max_relu_18,0.9575183800000001,0.89849701,0.80537141,0.8224876465192131,0.85682402,0.8054431000000001,0.8217783529411764,0.898830447141979,0.65922938,0.8553327559939059
Max_relu_19,0.24471238,0.13430077999999998,0.7614475399999999,0.7693846702680666,0.86106579,0.75919867,0.7924367394957983,0.9236911608789182,0.6578828200000001,0.6972488663699783
Max_relu_20,0.9283499899999998,0.92601372,0.84490005,0.8550647232697992,0.8901875200000001,0.84562801,0.8672588347338935,0.9224084396127841,0.66013308,0.8799707310961431
Max_relu_21,0.33955998,0.20332666,0.79514949,0.798796126796453,0.88691385,0.79319789,0.819365512605042,0.936448467271051,0.69753384,0.7336681140245369
Max_relu_22,0.97312739,0.9842808000000001,0.8583706599999998,0.8600070329222302,0.90108681,0.85919201,0.8710007394957984,0.9171783228334358,0.74038418,0.8975793270387299
Max_relu_23,0.55098544,0.37472586,0.8525359699999999,0.8579453878299867,0.9175490399999999,0.8537596599999998,0.8741021960784314,0.9554144783343577,0.7537978599999999,0.8054141909229413
Max_relu_24,0.90454167,0.90734778,0.9329524499999999,0.9320516461115075,0.95706241,0.94109062,0.9480991820728291,0.9783294368469577,0.79447102,0.9369368955977868
Max_relu_25,0.63104919,0.45473712,0.869578,0.8722785037203139,0.9290152700000001,0.8646038800000001,0.8843770420168068,0.9612662031346035,0.78634408,0.8308899276321066
Max_relu_26,0.59267501,0.59150623,0.86358442,0.8460997349913362,0.9227361500000001,0.8324299100000001,0.8478537478991597,0.9365701790104487,0.8249629999999999,0.8259472606446956
Max_relu_27,0.91515734,0.91929955,0.9132981399999999,0.8919806441749057,0.9662667899999999,0.91090384,0.9104321568627451,0.981809376920713,0.87133558,0.9325758289231016
Max_relu_28,0.9990263799999999,0.9993343600000001,0.9368652800000001,0.9231492304556109,0.9658500700000001,0.94362885,0.9412738151260505,0.9494611555009219,0.845878,0.950712634311603
Max_relu_29,0.9821393500000001,0.9840757199999999,0.8999996499999999,0.8871100091733768,0.93848403,0.8842893000000001,0.8906676974789915,0.928301044867855,0.84644048,0.921540586159891
Max_relu_30,0.97487257,0.98354592,0.6989613800000001,0.7010855264499032,0.7045081999999999,0.72180457,0.7128249971988796,0.47032146972956357,0.6302949999999999,0.6963367322187475
Max_relu_31,0.85978902,0.94801369,0.7689753,0.7220839567832025,0.8747424199999999,0.6959178,0.7130992717086835,0.9017330285802089,0.7421932,0.8229897281693528
