,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.0005,0.99981924,0.9998691480323403,0.9997714491470817
Gaussian,0.0,0.0001,0.99992612,0.9999150218541523,0.9999539004320419
TinyImageNet (Crop),0.036,0.042300000000000004,0.992217,0.9871330278425051,0.995567378419033
TinyImageNet (Resize),0.036387728060340435,0.04138913464478647,0.9927614310467842,0.9876357902883833,0.9958955115037716
LSUN (Crop),0.0436,0.0461,0.9917265200000001,0.9858162568576425,0.9956586367741491
LSUN (Resize),0.0174,0.0318,0.9954627400000001,0.9925140656748086,0.997290599891148
iSUN,0.017478991596638654,0.030700280112044818,0.9956586890756302,0.9933594436668977,0.9972022741367099
SVHN,0.029425322679778734,0.03194247080516288,0.9942016441303012,0.9698253155184203,0.9989078401029079
Cifar100,0.626,0.2034,0.8692808000000001,0.8803297298370681,0.8529908871865415
imagenet_a,0.42573333333333335,0.14363333333333334,0.9277502133333333,0.9142158339112185,0.9430867256786835
imagenet_o,0.593,0.18835000000000002,0.8869448,0.954263961943908,0.7430639549876803
All,0.08930336420543984,0.06895347585752462,0.982696029944723,0.7977815428097272,0.9991704229676333
